Funding Agencies	Record Count	% of 94,965
Best World Corporation	1	0.001
Best2 0 Program Of The European Union	1	0.001
Bettencourt Schueller Foundation	1	0.001
Betty And Gordon Moore Foundation Through The Tectonics Observatory At Caltech	1	0.001
Betyp Iccat	1	0.001
Bevan And Mary French Fund	1	0.001
Bezos Earth Fund	1	0.001
Bfg Bundesanstalt Fur Gewasserkun De	1	0.001
Bfg Bundesanstalt Fur Gewasserkunde	1	0.001
Bg Brazil In The Scope Of Anp Research And Development Program	1	0.001
Bg Group Brasil	1	0.001
Bgc Feedbacks Scientific Focus Area Within The Regional And Global Climate Modeling Rgcm Program In The Climate And Environmental Sciences Division Cesd Of The Biological And Environmental Research Ber	1	0.001
Bgi	1	0.001
Bgr Project Index	1	0.001
Bgs Eo Development Shallow Geohazards And Risks Unconventional Gas And Soils Projects	1	0.001
Bgs National Capability Funding From The Natural Environment Research Council Nerc Under Uk Research And Innovation Ukri	1	0.001
Bgs National Capability Programme	1	0.001
Bgs Nc Oda Grant	1	0.001
Bgs Nerc	1	0.001
Bgs University Funding Initiative	1	0.001
Bgs University Funding Initiative Bufi	1	0.001
Bhakra Beas Management Board Bbmb Of The Ministry Of Water Resources Of India	1	0.001
Bharath Petroleum Corporation Limited Bpcl Government Of India	1	0.001
Bhp Billiton Australian Government Caring	1	0.001
Bhp Billiton Petroleum Americas Inc	1	0.001
Bhp Billiton Petroleum On Submarine Thrust Belts	1	0.001
Bhp Csiro Ningaloo Outlook Partnership	1	0.001
Bhp Social Investment Fund Edna For Global Biodiversity Edges Programme	1	0.001
Bhpbilliton Cairn India Vedanta	1	0.001
Bia Tribal Resilience Program	1	0.001
Bianzo I Project	1	0.001
Bianzo Ii Project	1	0.001
Bic Chinese Academy Of Sciences	1	0.001
Bid Project From The Research Base Of Humanities And Social Sciences In Colleges Of Shandong Province During The Twelfth Five Year Plan Research Base Of Female Human Resources Development And Management Research On The Improvement Strategy Of Female Docto	1	0.001
Bidmc Emergency Department	1	0.001
Bielefeld University	1	0.001
Biennial Eqc Research Grant Eqc Project	1	0.001
Big Data Knowledge Discovery Project Sief Project	1	0.001
Big Earth Data Science Engineering Project	1	0.001
Big Game Fishing Club France	1	0.001
Big Wave Productions	1	0.001
Bigcees Project From E2s Uppa Big Model And Big Data In Computational Ecology And Environmental Sciences	1	0.001
Bigea Department University Of Bologna	1	0.001
Bigelow Laboratory For Ocean Sciences	1	0.001
Bigsouth Program	1	0.001
Bijagos Biosphere Reserve Bbr	1	0.001
Bijzonder Onderzoeksfonds Bof	1	0.001
Bijzonder Onderzoeksfonds Methusalem Project Of Ghent University	1	0.001
Bik F Biodiversity And Climate Research Centre	1	0.001
Bilateral Italia Messico Programme Project Vomzoc Condivisione Di Conoscenze E Metodologie Di Analisi Dati Per Caratterizzare La Variabilita Oceanica A Diverse Scale La Migrazione Verticale Di Zooplancton E I Flussi Di Carbonio Nel Sud Adriatico E Nel G	1	0.001
Bilateral Program Between Vietnam And Japan Entitled Investigation Of Countermeasures To The Overall Stabilization The Truong Giang River Nui Thanh District In Order To Satisfy The Requirement The Economics Of Sustainable Developments In The Study Area	1	0.001
Bilateral Programs Joint Research Projects Jsps	1	0.001
Bilateral Project Acordo Portugal Tunisia	1	0.001
Bilateral Project Italy Argentina Use Of Satellite Technologies For Large Scale Oceanographic And Environmental Studies Over The Argentinean Continental Shelf Mincyt	1	0.001
Bilateral Project Mincy Tdaad Ministerio De Ciencia Tecnologia E Inovacion Productiva Argentina And Deutscher Akademischer Austauschdienst Germany	1	0.001
Bilateral Project Mincyt Daad Ministerio De Ciencia Tecnologia E Innovacion Productiva Argentina And Deutscher Akademischer Austauschdienst Germany	1	0.001
Bilateral Research Project Sino German Center For Research Support	1	0.001
Bilateral South Africa Norway Sancoop Scampi Project	1	0.001
Bilbao Bizkaia Water Consortium	1	0.001
Bill Gordon Consulting	1	0.001
Billerudkorsnas	1	0.001
Billfish Tournament Scholarship	1	0.001
Bilsland Dissertation Fellowship	1	0.001
Bing Mooney Fellowship In Environmental Science And Conservation At Stanford University S Department Of Biology	1	0.001
Bingo European H2020 Project	1	0.001
Bio Argo Project Cnes Tosca	1	0.001
Bio Argo Project Cnestosca	1	0.001
Bio Based Industries Joint Undertaking Under The European Union S Horizon 2020 Research And Innovation Program Tech4effect Techniques And Technologies Or Effectivewood Procurement Project	1	0.001
Bio Geo Clim Grant	1	0.001
Bio Geo Clim Grant Of The Russian Ministry Of Science And Education	1	0.001
Bio Geoclim Grant From The Ministry Of Education And Science Of The Russian Federation	1	0.001
Bio Logging Science Project	1	0.001
Bio Logging Science The University Of Tokyo	1	0.001
Bio Logging Science University Of Tokyo	1	0.001
Bio Medical Technology Development Program Of The Nrf Korean Government	1	0.001
Bio Optical Studies Of Predictability And Assimilation In The Coastal Environment Biospace	1	0.001
Bio Space Biodiversity Monitoring With Earth Observation Data Through The Government Related Initiatives Program Grip Of The Canadian Space Agency	1	0.001
Bio5	1	0.001
Bioacid Ii	1	0.001
Bioacid Ii Project W P 1 3	1	0.001
Bioacid Program	1	0.001
Bioargo Cnes Tosca	1	0.001
Biocap Canada Foundation	1	0.001
Biocenosis De Invertebrados Bentonicos Y Pelagicos En Aguas Profundas Del Pacifico Mexicano En Relacion Con Las Condiciones Ambientales	1	0.001
Biocomplexity Dynamics Of Coupled Natural And Human Systems Nsf	1	0.001
Biocomsa Consorcio Tecnologico De Biocombustibles S A Chile	1	0.001
Biocomsa Consortium	1	0.001
Biodimar Programme	1	0.001
Biodivagrim Grant	1	0.001
Biodiversa	1	0.001
Biodiversa Buffer	1	0.001
Biodiversa Cofund	1	0.001
Biodiversa Eranet	1	0.001
Biodiversa Joint Call For Research Proposals Under The Biodivscen Era Net Cofund Program	1	0.001
Biodiversa Joint Call For Research Proposals Under The Biodivscen Era Net Cofund Programme	1	0.001
Biodiversa Joint Call Under The Biodivscen Eranet Cofund Programme	1	0.001
Biodiversity And Climate Research Center Bik F Within The Hessian Initiative For Scientific And Economic Excellence Loewe	1	0.001
Biodiversity And Climate Research Center Within The Hessian Initiative For Scientific And Economic Excellence Loewe	1	0.001
Biodiversity And Ecological Forecasting Program	1	0.001
Biodiversity And Protected Areas Management Biopama Eu Acp Programme An Initiative Of The African Caribbean And Pacific Acp Group Of States 10Th And 11Th European Development Funds Of The European Union Eu	1	0.001
Biodiversity Based Economy Development Office Public Organization	1	0.001
Biodiversity Conservation Fund Of Kazakhstan	1	0.001
Biodiversity Foundation Of The Ministry For Ecological Transition Of Spain	1	0.001
Biodiversity Investigation Observation And Assessment Program 2019 2023 Of Ministry Of Ecology And Environment Of China	1	0.001
Biodiversity Investigation Observation And Assessment Program 2019 2023 Of The Ministry Of Ecology And Environment Of China	1	0.001
Biodiversity Investigation Observation And Assessment Program Ministry Of Ecology And Environment Of China	1	0.001
Biodiversity Laboratory Of Excellence Cemeb Labex Through The Research Project Trees Sea Floating Objects In The Open Ocean Unveiling Modifications Of The Pelagic Habitat Induced By Global Change	1	0.001
Biodiversity Management Bureau Department Of Environment And Natural Resources Philippines Through The Programme Coastal Assessment For Rehabilitation Enhancement Capability And Resilience Of Ecosystems Care Cadres Project West Philippine Sea	1	0.001
Biodiversity Research And Training Program Brt National Centre For Genetic Engineering And Biotechnology Biotec Ministry Of Science And Technology Thailand	1	0.001
Biodiversity Research Consortium Brazil Norway Brc Hydro Alunorte	1	0.001
Biodiversity Research Institute Irbio	1	0.001
Biodiversity Research Institute Irbio Of The University Of Barcelona	1	0.001
Bioenergy Alliance Network Of The Rockies	1	0.001
Bioengineering And Environmental Systems	1	0.001
Bioforac Project	1	0.001
Bioforsk	1	0.001
Biofresh	1	0.001
Biofresh Project Eu Fp7	1	0.001
Biofuelnet	1	0.001
Biogeochemistry Climate Feedbacks Scientific Focus Area Project	1	0.001
Biogrip South African Department Of Science And Innovation	1	0.001
Biokavango Project Global Environment Facility	1	0.001
Biological And Environmental Research	1	0.001
Biological And Environmental Research Division Of The Department Of Energy Office Of Science	1	0.001
Biological And Environmental Research Division Of The Doe Office Of Science	1	0.001
Biological Classification System Research Of The Global Climate Change And Ocean Atmosphere Interaction Research	1	0.001
Biological Dynamics Forest Fragments Project Bdffp	1	0.001
Biological Oceanography Program Under The Biocomplexity In The Environment Program	1	0.001
Biology Department Scholarship	1	0.001
Biomap Project	1	0.001
Biomap Project P O Fesr 2007 2013 Puglia Region Italy	1	0.001
Biomass Program Of The Energy Efficiency And Renewable Energy Office Of The U S Department Of Energy	1	0.001
Biomega Project Spanish Marine Science And Technology Program	1	0.001
Biometore Project	1	0.001
Biometore Project Biodiversity In Seamounts The Madeira Tore And Great Meteor Eea	1	0.001
Biomin Project Lefe Program From Insu	1	0.001
Biomin Project Pnec Ec2co Program From Insu	1	0.001
Biop Program	1	0.001
Biopearl Biodiversity Dynamics Phylogeography Evolution And Radiation Of Life	1	0.001
Bioplatforms Australia Bpa	1	0.001
Biopower Systems	1	0.001
Biops Project	1	0.001
Bioptimod Cmems Service Evolution Project	1	0.001
Bios University Programs	1	0.001
Biosecurity New Zealand	1	0.001
Biosphere 2	1	0.001
Biosphere Management Systems Inc	1	0.001
Biostases Advanced Grant	1	0.001
Bioswot	1	0.001
Bioswot Tosca Cnes	1	0.001
Biot Scientific Advisory Group Sag Of The Fco	1	0.001
Biotek2021 Program	1	0.001
Biotherm	1	0.001
Bioversity International	1	0.001
Bipac	1	0.001
Bipolar Atlantic Thermohaline Circulation Biac	1	0.001
Birbal Sahni Institute Of Palaeosciences Bsip In House Project	1	0.001
Birbal Sahni Institute Of Palaeosciences Lucknow India	1	0.001
Bird Protection Quebec	1	0.001
Birdlife Australia	1	0.001
Birdlife Australia S Stuart Leslie Bird Research Award	1	0.001
Birdlife International	1	0.001
Birdlife International S Seabird Tracking Fund	1	0.001
Birds New Zealand Research Fund 2015	1	0.001
Birds New Zealand Research Fund 2017	1	0.001
Birds New Zealand Research Fund 2019	1	0.001
Birmingham Institute Of Forest Research	1	0.001
Birs	1	0.001
Bis National E Infrastructure Capital Grant	1	0.001
Bisiclo Fp7	1	0.001
Bistromed Envi Med Mistrals	1	0.001
Bistromed Project Mistrals Envimed Program	1	0.001
Bit Mesra Ranchi	1	0.001
Bitmap Water Bmbf Belmont Forum Project	1	0.001
Bivacme Croatian Science Foundation	1	0.001
Bjerknes Center Fast Track Initiative	1	0.001
Bjerknes Center For Climate Research Bccr Initiative	1	0.001
Bjerknes Center For Climate Research S Fast Track Initiative Program	1	0.001
Bjerknes Center For Climate Research To The Atmosphere Ocean Ice Interaction Project Aoi	1	0.001
Bjerknes Centre	1	0.001
Bjerknes Centre For Climate Research Norway	1	0.001
Bjerknes Centre For Climate Research Strategic Project Skd Loes	1	0.001
Bjerknes Centre For Climate Research Through The Project Skd Loes	1	0.001
Bjerknes Centre Project Dynawarm	1	0.001
Bjerknes Visiting Fellowship From The Bjerknes Centre For Climate Research	1	0.001
Bk 21 Plus Program Of The School Of Earth And Environmental Sciences Seoul National University	1	0.001
Bk21 Plus Program Through Nrf	1	0.001
Bk21 Research Group For Marine And Silver Biotechnology In The Pusan National University	1	0.001
Bkg	1	0.001
Bkg Vertrag Uber Die Weiterentwicklung Der Berner Gnss Software	1	0.001
Bkk	1	0.001
Black Duck Joint Venture	1	0.001
Black Point Rehydration Project Sfwmd	1	0.001
Black Sea Scientific Network	1	0.001
Blackbridge Resa	1	0.001
Blair Trust Scholarship	1	0.001
Blake Kymberly And George Rapier Charitable Trust	1	0.001
Blancpain	1	0.001
Blm	1	0.001
Bloom	1	0.001
Bloom Alert	1	0.001
Bloom Alert Project Guyamazon Program	1	0.001
Blue Action Eu Horizon 2020 Grant	1	0.001
Blue Action European Union	1	0.001
Blue Action European Union S Horizon 2020 Research And Innovation Programme	1	0.001
Blue Action Project European Union Horizon 2020 Research And Innovation Program	1	0.001
Blue Action Project European Union S Horizon 2020 Research And Innovation Program Grant	1	0.001
Blue Action Project From The European Union S Horizon 2020 Research And Innovation Programme	1	0.001
Blue Action Projects European Union S Horizon 2020 Research And Innovation Program	1	0.001
Blue Coast Project	1	0.001
Blue Link	1	0.001
Blue Nile Water Institute Of Bahir Dar University Ethiopia	1	0.001
Blue Nodules Eu Horizon 2020 Grant	1	0.001
Blue Planet Marine	1	0.001
Blue Planet Marine Australia	1	0.001
Blue Project In Jiangsu Universities	1	0.001
Blue Project Of Colleges And Universities In Jiangsu	1	0.001
Blue Project Of Jiangsu Province China	1	0.001
Blue Safari	1	0.001
Blue Ventures Conservation	1	0.001
Blue Waters Co	1	0.001
Blue Waters Professorship From National Center For Supercomputing Applications Of Uiuc	1	0.001
Blue Waters Sustained Petascale Computing Project	1	0.001
Blueaction Project European Union S Horizon 2020 Research And Innovation Program	1	0.001
Bluefin Project Ieo	1	0.001
Bluelink	1	0.001
Bluelink Ocean Forecasting Team	1	0.001
Bluelink Project	1	0.001
Blues Blue Growth Connects European Seas Ue	1	0.001
Bluff S Hunting Club	1	0.001
Bmbf Awa Project	1	0.001
Bmbf Bundesministerium Fur Bildung Und Forschung Germany Soa State Oceanic Administration China Joint Project	1	0.001
Bmbf Conicyt Project Gaby Vasa	1	0.001
Bmbf Federal Ministry Of Education And Research Germany As Part Of The Joint Research Project Eranet Europolar Satice Of The European Science Foundation	1	0.001
Bmbf Federal Ministry Of Education And Research Research Programme Pamir Within The Came Central Asia And Tibet Monsoon Dynamics And Geo Ecosystems Project	1	0.001
Bmbf Federal Ministry Of Education And Science Project Real Goce	1	0.001
Bmbf Funded Palmod Paleo Modelling A National Paleo Climate Modelling Initiative	1	0.001
Bmbf Funded Russian German Cooperation Quarccs	1	0.001
Bmbf German Climate Modeling Initiative Palmod	1	0.001
Bmbf German Federal Ministry Of Education And Research Project Emsec Real Time Services For Maritime Security	1	0.001
Bmbf Grant Race	1	0.001
Bmbf Grant Sopran	1	0.001
Bmbf Ib	1	0.001
Bmbf Progress	1	0.001
Bmbf Project Cafindo As Part Of The Spice Iii Cluster	1	0.001
Bmbf Project Proso	1	0.001
Bmbf Project Sumatra	1	0.001
Bmbf Race	1	0.001
Bmbf Race Program	1	0.001
Bmbf Race Project	1	0.001
Bmbf Research Program Miklip	1	0.001
Bmbf Research Program Nordatlantik	1	0.001
Bmbf Through Project Ritter Island	1	0.001
Bmbf Under Grant Ep Gris	1	0.001
Bmdw Styria	1	0.001
Bmf Project Transdrift System Laptewsee Das Transpolare System Des Nordpolarmeeres	1	0.001
Bmk	1	0.001
Bmt	1	0.001
Bmvi Forschungsvorhaben	1	0.001
Bmwi Bundesministerium Fur Wirtschaft Und Energie	1	0.001
Bmwi German Federal Ministry For Economic Affairs And Energy Project Demarine 2	1	0.001
Bmwi German Federal Ministry For Economics And Technology	1	0.001
Bnp Paribas	1	0.001
Bnp Paribas Foundation For The Southern Ocean And Climate Soclim Project	1	0.001
Bnp Paribas Foundation Life Without Ice Project	1	0.001
Bnp Paribas Foundation Project Cpatemp	1	0.001
Bnp Paribas Foundation Via The Pre Clide Project Under The Cnrs	1	0.001
Bnp Paribas Foundation Via The Preclide Project Under The Cnrs Research Convention	1	0.001
Bnp Paribas Foundation Within Its Climate Biodiversity Initiative 2019	1	0.001
Bnp Paribas Through The Project Themes	1	0.001
Bnpb	1	0.001
Board Of Earth And Life Sciences Of The Netherlands Organisation For Scientific Research	1	0.001
Board Of Earth And Life Sciences Of The Netherlands Organisation For Scientific Research Alw Nwo Via The Acsex Programme	1	0.001
Board Of Public Utilities	1	0.001
Board Of Regents Of Louisiana Through The Rcs Project Leqsf	1	0.001
Board Of Regents Support Fund	1	0.001
Boat And Fishing Equipment Company Eholotes Lv	1	0.001
Bob Ergun	1	0.001
Bob Fleming At The University Of Maine	1	0.001
Bob Wright Graduate Scholarship	1	0.001
Bobble Project Ministry Of Earth Sciences Govt Of India Under Its Monsoon Mission Programme	1	0.001
Bocats	1	0.001
Bocats Project Fondo Europeo De Desarrollo Regional 2014 2020 Feder	1	0.001
Bocats Project Spanish Government	1	0.001
Bocats2 Project Mcin Aei	1	0.001
Bodc Data Center	1	0.001
Bodega Marine Laboratory	1	0.001
Bodega Marine Laboratory Fellowship	1	0.001
Boehringer Ingelheim	1	0.001
Boeing Co	1	0.001
Boeing Defense Space Security	1	0.001
Boeing Research Amp Technology Europe	1	0.001
Boem Alaska Environmental Studies Program	1	0.001
Boem As Part Of The Continuation Of The Arctic Nearshore Impact Monitoring In Development Area Canimida Project	1	0.001
Boem Bureau Of Ocean Energy Management	1	0.001
Boeni Family	1	0.001
Boje Benzon Foundation	1	0.001
Boku S Transitions To Sustainability T2s Doctoral School	1	0.001
Bolashak International Scholarship	1	0.001
Bolin Center	1	0.001
Bolin Center For Climate Research	1	0.001
Bolin Centre For Climate Research At Stockholm University	1	0.001
Bolin Centre For Climate Research Research Area 6	1	0.001
Bolivar Study Program Nsf At Rice University	1	0.001
Bolivarian Republic Of Venezuela Mppcti Fidetel	1	0.001
Bolivian Ministry Of Environment And Water Through The Program Mas Inversion Para Riego	1	0.001
Bolsa Projeto Capes Ana Besm	1	0.001
Bolton Food S P A	1	0.001
Bolyai Postdoctoral Fellowship Program	1	0.001
Bom	1	0.001
Bonafont Foundation	1	0.001
Bonanza Creek Long Term Ecological Research Program Usda Forest Service Pacific Northwest Research Station	1	0.001
Bonanza Creek Lter Program Nsf	1	0.001
Bonefish	1	0.001
Bonefish And Tarpon Trust	1	0.001
Bonneville Power Administration Bpa	1	0.001
Bonus Art 185 Eu	1	0.001
Bonus Baltcoast Project	1	0.001
Bonus Balticapp Well Being From The Baltic Sea Applications Combining Natural Science And Economics Project	1	0.001
Bonus Balticway Project	1	0.001
Bonus Danish Agency For Science Technology And Innovation	1	0.001
Bonus European Union	1	0.001
Bonus From The European Union S Seventh Programme For Research Technological Development And Demonstration	1	0.001
Bonus Goodhope Campaign	1	0.001
Bonus Goodhope Project	1	0.001
Bonus Inno	1	0.001
Bonus Optimus Eu	1	0.001
Bonus Optimus Innovation Fund Denmark	1	0.001
Bonus Programme	1	0.001
Bonus Project	1	0.001
Bonus Project Baltcoast Bonus	1	0.001
Bonus Project Bambi	1	0.001
Bonus Qualite Recherche Bqr	1	0.001
Bonus The Eu Joint Baltic Sea Research And Development Program Project Bambi	1	0.001
Bonus The Joint Baltic Sea Research And Development Programme Art 185	1	0.001
Bonus The Joint Baltic Sea Research And Development Programme Art 185 From Swedish Research Council For Environment Agriculture Sciences And Spatial Planning Formas	1	0.001
Bonus The Joint Baltic Sea Research And Development Programme Art 185 From The European Union S Seventh Programme For Research Technological Development And Demonstration	1	0.001
Bor Watersmart	1	0.001
Bordeaux I University	1	0.001
Boreal Ecosystem Research And Monitoring Sites Berms	1	0.001
Borestone Foundation	1	0.001
Bornean Orangutan Society Canada	1	0.001
Boss4gmes	1	0.001
Boston College Startup Funds	1	0.001
Boston Green Ribbon Commission	1	0.001
Boston University Center For Remote Sensing	1	0.001
Boston University Research Education And Communication Of Science Program Howard Hughes Medical Institute	1	0.001
Boston University Undergraduate Research Opportunities Program	1	0.001
Botanical Society Of America	1	0.001
Botanical Society Of America Graduate Student Research Grant	1	0.001
Botnia Atlantica An Eu Program Financing Cross Border Cooperation Project In Finland Through The Windcoe Project	1	0.001
Botnia Atlantica An Eu Program Financing Cross Border Cooperation Project In Norway Through The Windcoe Project	1	0.001
Botnia Atlantica An Eu Program Financing Cross Border Cooperation Project In Sweden Through The Windcoe Project	1	0.001
Botswana Government Through Botswana International University Of Science And Technology	1	0.001
Botswana International University Of Science And Technology Through Botswana Government	1	0.001
Bottlenose Dolphin Research Institute Bdri	1	0.001
Boum Experiment	1	0.001
Bournemouth University	1	0.001
Bournemouth University Departmental Qr Funds	1	0.001
Bourse D Excellence Descartes Of The French Government	1	0.001
Bourse Fondation Mathieu University Of Luxembourg	1	0.001
Bourse Formation Recherche	1	0.001
Bowdoin College	1	0.001
Bowdoin College Gibbons Summer Research Fellowship	1	0.001
Bowdoin College S Grua O Connell Fellowship	1	0.001
Bowring Junior Research Fellowship St Catharine S College University Of Cambridge	1	0.001
Boyd Lyon	1	0.001
Boyd Lyon Sea Turtle Fund Scholarship	1	0.001
Bp America Co	1	0.001
Bp America Production Company	1	0.001
Bp And Ford Motor Company Through The Carbon Mitigation Initiative At Princeton University	1	0.001
Bp Cambridge Margins Research Program	1	0.001
Bp Colombia	1	0.001
Bp Conocophillips	1	0.001
Bp Exploration Angola Ltd	1	0.001
Bp Exploration Operating Company Limited	1	0.001
Bp Fio Gulf Oil Spill Prevention Response Recovery Grants Program	1	0.001
Bp General Scholarship	1	0.001
Bp Gomri C Image Program	1	0.001
Bp Gulf Of Mexico Research Initiative Contracts	1	0.001
Bp Gulf Of Mexico Research Initiative Gri Rapid Response	1	0.001
Bp Gulf Of Mexico Research Initiative Through C Image Tampa Bay Parrot Head Fellowship	1	0.001
Bp Gulf Of Mexico Research Initiative Through The C Image Ii	1	0.001
Bp North Africa Spu	1	0.001
Bp Norway	1	0.001
Bp Of The Drifters Research Group At Royal Holloway University Of London Rhul	1	0.001
Bp Operating Company Limited	1	0.001
Bp Plc	1	0.001
Bp Plc As Part Of Its Parnaiba Basin Analysis Project Pbap	1	0.001
Bp Production And Exploration Inc	1	0.001
Bp Program	1	0.001
Bp Project	1	0.001
Bp The Gulf Of Mexico	1	0.001
Bp The Gulf Of Mexico Research Initiative For The Consortium For Advanced Research On Transport Of Hydrocarbon In The Environment	1	0.001
Bp The Gulf Of Mexico Research Initiative Gomri Through The Consortium For Advanced Research On The Transport Of Hydrocarbon In The Environment Carthe	1	0.001
Bp The Gulf Of Mexico Research Initiative Through Deep C Program	1	0.001
Bp The Gulf Of Mexico Research Initiative Through Florida Institute Of Oceanography	1	0.001
Bp The Gulf Of Mexico Research Initiative Through The Consortium For Advanced Research On Transport Of Hydrocarbon In The Environment Carthe	1	0.001
Bp The Gulf Of Mexico Research Initiative Through The Deep C Program	1	0.001
Bp The Gulf Of Mexico Research Initiative Through The Florida Institute Of Oceanography	1	0.001
Bp The Gulf Of Mexico Research Initiative Through The Gulf Integrated Spill Response Consortium	1	0.001
Bp The Gulf Of Mexico Research Initiative To The Consortium For Advanced Research On The Transport Of Hydrocarbon In The Environment Carthe Usa	1	0.001
Bp The Royal Society Of Edinburgh	1	0.001
Bp Through The Carbon Mitigation Initiative	1	0.001
Bp Through The Carbon Mitigation Initiative At Princeton University	1	0.001
Bp Through The Gulf Of Mexico Research Initiative Award	1	0.001
Bp Upstream Environmental Technology Program	1	0.001
Bp Within The The Drifters Research Group At Royal Holloway University Of London Rhul	1	0.001
Bph	1	0.001
Bpi France	1	0.001
Bqr Ipgp	1	0.001
Bqr Program Of Observatoire Cote D Azur	1	0.001
Bqr Sud Grant At Isterre	1	0.001
Brad Herried Under Nsf Opp	1	0.001
Braginsky Centre	1	0.001
Brain Be Programme Of The Belgian Federal Science Policy Office Belspo	1	0.001
Brain Gain Program Rientro Dei Cervelli Of The Italian Ministry Of University And Research	1	0.001
Brain Korea 21 Bk21 Project Of The South Korean Government	1	0.001
Brain Korea 21 Plus	1	0.001
Brain Korea 21 Plus Program Through The National Research Foundation Nrf Ministry Of Education Of Korea	1	0.001
Brain Korea 21 Plus Project	1	0.001
Brain Korea 21 Plus Project In Department Of Marine Sciences And Convergent Technology Of Hanyang University	1	0.001
Brain Lasugeo Project	1	0.001
Brain Pool Program Nrf Ministry Of Science And Ict	1	0.001
Brainstorm Project On Social Development By The Department Of Science And Technology Of Henan Province	1	0.001
Branch Oceans And Coasts Of The Department Of Environmental Affairs	1	0.001
Branch Of Geology Geophysics And Mining Sciences Of Ras	1	0.001
Branco Weiss Fellowship	1	0.001
Branco Weiss Fellowship Society In Science	1	0.001
Branco Weiss Society In Science Fellowship	1	0.001
Brattasstiftelsen For Skogsvetenskaplig Forskning Brattas Foundation For Forest Science Research	1	0.001
Brawijaya University	1	0.001
Brazil Grant	1	0.001
Brazil S Capes	1	0.001
Brazil S Ciencia Sem Fronteiras Program Cnpq	1	0.001
Brazilian Agencies For Research And Education Cnpq And Capes	1	0.001
Brazilian Agency Capes Coordination For The Improvement Of Higher Education Personnel Through The Proamazonia Program	1	0.001
Brazilian Agency Finep Financiadora De Inovacao E Pesquisa	1	0.001
Brazilian Agency For Higher Education Improvement Iodp Capes	1	0.001
Brazilian Air Force	1	0.001
Brazilian Antarctic Program Proantar Through Brazilian Ministry Of The Environment Mma	1	0.001
Brazilian Antarctic Program Proantar Through The Brazilian Ministry Of The Environment	1	0.001
Brazilian Antarctic Programme	1	0.001
Brazilian Capes Pdse Program Scholarship	1	0.001
Brazilian Cnpq National Counsel Of Technological And Scientific Development	1	0.001
Brazilian Coast Monitoring System Simcosta	1	0.001
Brazilian Coastal Monitoring System Simcosta Team	1	0.001
Brazilian Excellent Researcher Fellowship	1	0.001
Brazilian Federal Agency For Support And Evaluation Of Graduate Education Capes Under The Program Capes Print Ufba	1	0.001
Brazilian Federal Agency For Support And Evaluation Of Graduate Education Within Ministry Of Education Of Brazil	1	0.001
Brazilian Geological Survey	1	0.001
Brazilian Geological Survey Division Of Applied Hydrology Cprm	1	0.001
Brazilian Government Fapepi Cnpq Dcr	1	0.001
Brazilian Government Through Ministirio Do Meio Ambiente Mma	1	0.001
Brazilian Government Through The Ministerio Do Meio Ambiente Mma	1	0.001
Brazilian Iodp Capes Coordenacao De Aperfeicoamento De Pessoal De Nivel Superior	1	0.001
Brazilian Lter Peld	1	0.001
Brazilian Marine Biodiversity Network Sisbiota Mar Through Cnpq	1	0.001
Brazilian Ministery Of Science Technology And Innovation Mcti	1	0.001
Brazilian Ministry Educational Council Capes	1	0.001
Brazilian Ministry For Fisheries And Aquaculture Mpa	1	0.001
Brazilian Ministry For Science Technology And Innovation Mcti	1	0.001
Brazilian Ministry Of Education Capes Coordenacao De Aperfeicoamento De Pessoal Denivel Superior	1	0.001
Brazilian Ministry Of Environment	1	0.001
Brazilian Ministry Of Environment Mma	1	0.001
Brazilian Ministry Of Environment Through The Smc Brazil Project	1	0.001
Brazilian Ministry Of Science And Technology	1	0.001
Brazilian Ministry Of Science And Technology Mct	1	0.001
Brazilian Ministry Of Science Technology And Innovation Cnpq Council For Scientific And Technological Development Through A Ph D Scholarship From The Science Without Borders Program	1	0.001
Brazilian Ministry Of Science Technology And Innovation Cnpq Council For Scientific And Technological Development Through A Phd Scholarship From Science Without Borders Program	1	0.001
Brazilian Ministry Of Science Technology And Innovation Through Rede Nacional De Pesquisa Rnp Under The Hpc4e Project	1	0.001
Brazilian Ministry Of Science Technology And Inovation	1	0.001
Brazilian Ministry Of Science Technology Innovation And Communication	1	0.001
Brazilian Ministry Of Science Technology Innovation And Communications	1	0.001
Brazilian Ministry Of Science Technology Innovation And Communications Mctic	1	0.001
Brazilian Ministry Of Science Technology Innovation Mcti	1	0.001
Brazilian National Council For Scientific And Technological Development Brazil	1	0.001
Brazilian National Council For Scientific And Technological Development Cnpq The Research And Development In Oceanic Islands Project	1	0.001
Brazilian National Council For Technological And Scientific Development	1	0.001
Brazilian National Council For The Development Of Science And Technology	1	0.001
Brazilian National Council Of Research And Development	1	0.001
Brazilian National Council Of Science Cnpq	1	0.001
Brazilian National Institute For Space Research Inpe	1	0.001
Brazilian National Institute Of Science And Technology For Tropical Marine Environments	1	0.001
Brazilian National Institute Of Science And Technology For Tropical Marine Environments Inct Ambtropic Cnpq Fabesb	1	0.001
Brazilian National Institute Of Science And Technology For Tropical Marine Environments Inct Ambtropic Cnpq Fapesb	1	0.001
Brazilian National Institute Of Science And Technology In Tropical Marine Environments Inct Ambtropic Cnpq Capes Fapesb	1	0.001
Brazilian National Institute Of Science And Technology Of The Cryosphere Inct Criosfera	1	0.001
Brazilian National Institute Of Science And Technology Of The Cryosphere Inct Da Criosfera	1	0.001
