Funding Agencies	Record Count	% of 8,505
Brazilian Scientific Committee Capes	1	0.012
Brest Metropole	1	0.012
Brgm	1	0.012
Bridging The Gap In Innovations For Disasters Brigaid Project	1	0.012
British Ecological Society Bes	1	0.012
British Geological Survey	1	0.012
British Oceanographic Data Center	1	0.012
British Society For Geomorphology	1	0.012
Brown University Voss Postdoctoral Research Fellowship	1	0.012
Bulent Ecevit University	1	0.012
Bulgarian Ministry Of Education And Science	1	0.012
Bundesamt Fur Kartographie	1	0.012
Bundesministerium Fuer Bildung Und Forschung Bmbf In The Project Ewatec Coast	1	0.012
Bundeswehr Geoinformation Center Bgic	1	0.012
Bureau Of Ocean Energy Management	1	0.012
Bureau Of Ocean Energy Management Contract	1	0.012
Byrd Polar Research Center	1	0.012
C3s Service European Union	1	0.012
C4g Collaboratory For Geosciences	1	0.012
Caja Rural De Jaen	1	0.012
Caja Rural Jaen	1	0.012
California Department Of Boating And Waterways	1	0.012
California Department Of Parks And Recreation	1	0.012
California Department Of Parks And Recreation Division Of Boating And Waterways	1	0.012
California Energy Commission	1	0.012
California Institute Of Technology S Jet Propulsion Laboratory	1	0.012
Callahan Dee Fellowship	1	0.012
Calmip France	1	0.012
Caltech S Summer Undergraduate Research Fellowship Program Surf	1	0.012
Cambridge Mandela Scholarship	1	0.012
Canada First Research Excellence Fund Cfref	1	0.012
Canada First Research Excellence Fund Through The Ocean Frontier Institute	1	0.012
Canada Foundation For Innovation Under Compute Canada	1	0.012
Canada S Geoide Nce	1	0.012
Canada S Marine Environmental Observation Prediction And Response Network Meopar Postdoctoral Funds	1	0.012
Canadian Crustal Deformation Service	1	0.012
Canadian Foundation For Climate And Atmospheric Science	1	0.012
Canadian Foundation For Climate And Atmospheric Science Through Project Goapp	1	0.012
Canadian Foundation For Climate And Atmospheric Science Through Project Gr 631	1	0.012
Canadian Foundation For Climate And Atmospheric Studies Global Ocean Atmosphere Prediction And Predictability Project	1	0.012
Canadian Geoide Networks Of Centres Of Excellence	1	0.012
Canadian Institute For Advanced Research Cifar	1	0.012
Canadian Metal Earth Program	1	0.012
Canadian Meteorological And Oceanographic Society Cmos	1	0.012
Canadian Mitacs Globalink Program	1	0.012
Canadian Program For Energy Research And Development	1	0.012
Canadian Program For Energy Research And Development Perd	1	0.012
Canadian Space Agency Cubesat Grant	1	0.012
Canadian Space Agency Government Related Initiative	1	0.012
Canadian Space Agency Government Related Initiative Program	1	0.012
Canadian Space Agency Grip Program	1	0.012
Canadian Space Agency S Government Related Initiative Program Grip	1	0.012
Canadian Space Agency S Government Related Initiatives	1	0.012
Cap L Orient	1	0.012
Capacity Building Project Of Local Colleges And Universities Of Shanghai Science And Technology Commission	1	0.012
Capes Iodp Proc	1	0.012
Carbon Mitigation Initiative Bp	1	0.012
Carbon Mitigation Initiative Cmi Through The Support Of Bp Amaco And Ford	1	0.012
Carbon Monitoring System Cms Program At Nasa	1	0.012
Carnegie Foundation Of New York Through The Regional Initiative For Science Education Program	1	0.012
Carnegie Ias Regional Initiative In Science And Education Rise Western Indian Ocean Regional Initiative In Marine Science And Education Wio Rise Network	1	0.012
Carnegie Ias Regional Initiative In Science And Education Through The Western Indian Ocean Regional Initiative In Marine Science And Education Network	1	0.012
Cas Alliance Of Field Observation Stations	1	0.012
Cas International Partnership Program	1	0.012
Cas Key Deployment Project Of Centre For Ocean Mega Research Of Science	1	0.012
Cas Key Research Program Of Frontier Sciences	1	0.012
Cas Light Of West China Program	1	0.012
Cas Safea Program	1	0.012
Cas Scholarship Council	1	0.012
Cas Strategic Priority Project	1	0.012
Cas Strategy Pioneering Program	1	0.012
Cas Twas Coe Sdim On Space Technology For Disaster Mitigation In Asia	1	0.012
Catalan Agency Of Research Agaur	1	0.012
Cawa Project	1	0.012
Cce Lter	1	0.012
Cddis	1	0.012
Cecil And Ida Green Foundation	1	0.012
Cemarin	1	0.012
Center For Climate Dynamics Chex Project	1	0.012
Center For Coastal And Physical Oceanography At Old Dominion University	1	0.012
Center For Coastal Rehabilitation And Disaster Mitigation Studies Corem	1	0.012
Center For Environmental Sciences And Engineering Cese Of The University Of Connecticut	1	0.012
Center For Environmental Sensing And Monitoring Censam	1	0.012
Center For Integrated Space Weather Modeling Cism	1	0.012
Center For Management Utilization And Protection Of Water Resources At Tennessee Technological University	1	0.012
Center For Microbial Oceanography Research And Education Cmore	1	0.012
Center For Remote Sensing Of Ice Sheets	1	0.012
Center For Remote Sensing Of The Ice Sheets Cresis Through The National Science Foundation Science And Technology Center Stc Award	1	0.012
Center For Space Research University Of Texas At Austin	1	0.012
Center For Stock Assessment Research Cstar	1	0.012
Center For Topographic Studies Of The Ocean And Hydrosphere Institut National Des Sciences De L Univers	1	0.012
Center For Utilization And Management Of Water Resources Of Tennessee Technological University Ttu	1	0.012
Center National D Etudes Spatiales Cnes As Part As The Skim Phase	1	0.012
Center National D Etudes Spatiales Cnes Through The Tosca Program	1	0.012
Center Of Excellence For Climate System Analysis And Prediction Clisap University Of Hamburg Germany	1	0.012
Center Of Excellence Science And Technology Pui	1	0.012
Center Of Research And Innovation Cori Universiti Kuala Lumpur	1	0.012
Central And Northern California Ocean Observing System Cencoos	1	0.012
Central England Nerc Training Alliance	1	0.012
Central South University	1	0.012
Central University Fundamental Research Fund Of Hohai University Of China	1	0.012
Centre Europeen De Technologies Sous Marine Cetsm Contrat De Projet Etat Regionregion 2007 2013 En Paca	1	0.012
Centre For Autonomous Marine Operations And Systems	1	0.012
Centre For Climate Dynamics At The Bjerknes Centre	1	0.012
Centre For Climate Dynamics At The Bjerknes Centre Through The Project Increase	1	0.012
Centre For Climate Dynamics Bjerknes Centre Norway	1	0.012
Centre For Earth Observation Science University Of Manitoba	1	0.012
Centre For Ecology Hydrology Ceh The Met Office National Oceanography Centre Noc	1	0.012
Centre For Ice Climate And Ecosystems At The Norwegian Polar Institute	1	0.012
Centre For Renewable And Sustainable Energy Studies	1	0.012
Centre For Southern Hemisphere Oceans Research A Joint Research Centre Between Qnlm And Csiro	1	0.012
Centre For Southern Hemisphere Oceans Research Qnlm	1	0.012
Centre National D Etude Spatiale Cnes France	1	0.012
Centre National D Etude Spatiale Cnes Through The Swot Science Team Project Swot For South America	1	0.012
Centre National D Etude Spatiales Cnes Toulouse France	1	0.012
Centre National D Etudes Spatiales Cnes National Centre For Space Studies	1	0.012
Centre National D Etudes Spatiales Cnes Through Centre De Topographie Des Oceans Et De L Hydrosphere Ctoh Grant	1	0.012
Centre National D Etudes Spatiales Cnes Through Ocean Surface Topography Science Team Ost St Project Manatee	1	0.012
Centre National D Etudes Spatiales Cnes Through The Isis Programme	1	0.012
Centre National D Etudes Spatiales Cnes Through The Programme National De Planetologie	1	0.012
Centre National D Etudes Spatiales Cnes Through The Programme National De Teledetection Spatiale	1	0.012
Centre National D Etudes Spatiales Cnes Through The Project Terre Solide Ocean Surfaces Continentales Et Atmosphere Tosca	1	0.012
Centre National D Etudes Spatiales Cnes Through The Tosca Program	1	0.012
Centre National D Etudes Spatiales Cnes Through The Tosca Programme	1	0.012
Centre National D Etudes Spatiales Cnes Through Tosca	1	0.012
Centre National D Etudes Spatiales Cnes Through Tosca Project	1	0.012
Centre National D Etudes Spatiales Cnes Tosca	1	0.012
Centre National D Etudes Spatiales Cnes Toulouse France	1	0.012
Centre National D Etudes Spatiales Through Its Terre Solide Ocean Surface Continentale Atmosphere Program	1	0.012
Centre National D Etudes Spatiales Through Ostst Project Foam	1	0.012
Centre National D Etudes Spatiales Through Tosca Project Ctoh	1	0.012
Centre National D Etudes Spatiales Tosca	1	0.012
Centre National D Etudes Spatiales Tosca Program	1	0.012
Centre National De L Etude Spatiale Cnes	1	0.012
Centre National De La Recherche Scientifique Cnrs Insu Lefe	1	0.012
Centre National De La Recherche Scientifique Cnrs Through Mistral Project	1	0.012
Centre National Detude Spatiale Cnes Through The Swot Science Team Project Swot For South America	1	0.012
Centre National Detude Spatiale Cnes Through The Swot Science Team Project Swot Wetlands Hydrological Monitoring Swhym	1	0.012
Centre Of Excellence Cofe Nf Pogo Alfred Wegener Institute Helmholtz Centre For Polar And Marine Research Awi Germany	1	0.012
Centre Of Excellence Severo Ochoa Spanish Ministry Of Science And Innovation	1	0.012
Centres National Des Etudes Spatiales And Collecte Localisation Satellite	1	0.012
Centro De Excelencia Severo Ochoa	1	0.012
Centro De Lnvestiga O Em Ciencias Geo Espaciais Cicge Of The Facultyof Science University Of Porto	1	0.012
Centro Latinoamericano De Formacion Interdisciplinaria Argentina	1	0.012
Ceo Centre For Earth Observation	1	0.012
Ceop Aegis Project On The Hydrology And Climatology Of The Tibetan Plateau Of The European Commission Fp7 Program	1	0.012
Cernet Innovation Project	1	0.012
Cetacean Society International	1	0.012
Cfcas Through The Polar Climate Stability Network	1	0.012
Cfosat Project	1	0.012
Cfref	1	0.012
Cgiar Research Program On Water Land And Ecosystems	1	0.012
Cgiar Research Program On Water Land And Ecosystems Wle	1	0.012
Cgl2014 54246 C2 1 R	1	0.012
Challenger Society	1	0.012
Chang E 1 Vlbi	1	0.012
Charles D Hollister Fund For Assistant Scientist Support	1	0.012
Charlie Trimble	1	0.012
Chevron	1	0.012
Chilean Millenium Initiative	1	0.012
Chilean Millennium Initiative	1	0.012
China 908 Project	1	0.012
China Coal Industry Association Guidance Program	1	0.012
China Copes Project	1	0.012
China Desert Meteorological Science Research Foundation	1	0.012
China Earthquake Administration	1	0.012
China Hi Tech Project	1	0.012
China High Resolution Earth Observation System	1	0.012
China Major Basic Research Program	1	0.012
China Manned Space Engineering	1	0.012
China Ocean Mineral Resources R D Association Project	1	0.012
China Ocean Mineral Resources Rd Association	1	0.012
China Postdoctoral Fund Project	1	0.012
China Postdoctoral Innovation Talent Support Program	1	0.012
China S National Key Research And Development Projects	1	0.012
China Scholar Council	1	0.012
China Scholar Council At The University Of Texas At San Antonio	1	0.012
China Scholarship	1	0.012
China Scholarship Council Csc University Of Bristol	1	0.012
China Special Fund For Meteorological Research In The Public Interest	1	0.012
China Special Funds For Meteorological Research In The Public Interest	1	0.012
Chinawatersense Project	1	0.012
Chinese Academy Of Sciences Cas Pioneer Hundred Talents Program	1	0.012
Chinese Academy Of Sciences Cas Safea International Partnership Program For Creative Research Teams	1	0.012
Chinese Academy Of Sciences Pilot A Special Project	1	0.012
Chinese Academy Of Sciences Russia	1	0.012
Chinese Academy Of Sciences Special Fund	1	0.012
Chinese Academy Of Sciences The World Academy Of Sciences Cas Twas Presidential Fellowship	1	0.012
Chinese Academy Of Sciences Ukraine	1	0.012
Chinese Academy Sciences Project Western Pacific Ocean System Structure Dynamics And Consequences	1	0.012
Chinese Arctic And Antarctic Administration Ministry Of Natural Resources Of The People S Republic Of China	1	0.012
Chinese French Oceanic Satellite Cfosat Project	1	0.012
Chinese Ministry Of Sciences And Technology	1	0.012
Chinese Polar Environment Comprehensive Investigation And Assessment Programmes	1	0.012
Chinese Polar Environment Comprehensive Investigation And Assessment Programs	1	0.012
Chinese Polar Environmental Comprehensive Investigation And Assessment Program	1	0.012
Chinese Polar Science Strategy Research Foundation	1	0.012
Chinese Polar Strategic Research Foundation	1	0.012
Chinese Science Council	1	0.012
Chongqing Meteorological Department Business Technology Research Project	1	0.012
Christian Haas Canada Research Chairs Program Award	1	0.012
Chrome Excellence Initiative Of Aix Marseille University A Midex A French Investissements D Avenir Program	1	0.012
Chungnam National University Korea	1	0.012
Cic Pba	1	0.012
Cima Research Foundation	1	0.012
Circle Med Programme	1	0.012
Cisl	1	0.012
City University Of Hong Kong	1	0.012
Civil Aerospace Technology Pre Research Project	1	0.012
Civil Aircraft Project Of Ministry Of Industry And Information	1	0.012
Civil Military Technology Cooperation Program Korea	1	0.012
Civil Space Technology Pre Research Project Of The Thirteenth Five Year Plan	1	0.012
Civil Space Technology Pre Research Project Satellite Gradiometry Technology	1	0.012
Class Programme Nerc	1	0.012
Climate Change Geoscience Program	1	0.012
Climate Change Impacts On The Energy Sector Ccies Federal Program On Energy Research And Development Perd	1	0.012
Climate Change Impacts On The Energy Sector Program Of Perd	1	0.012
Climate Eu Enact	1	0.012
Climate Hazards And Extremes Chex Project Of The Bjerknes Centre From Climate Research	1	0.012
Climate Observations And Monitoring Program National Oceanic And Atmospheric Administration U S Department Of Commerce	1	0.012
Climate Program Office	1	0.012
Climpact Spanish Ministry Of Economy	1	0.012
Clisap Excellence Cluster Of The University Of Hamburg	1	0.012
Clivar Project Office	1	0.012
Cls Space Oceanography Division	1	0.012
Cma	1	0.012
Cmcc	1	0.012
Cmcc Tessa Project	1	0.012
Cmems	1	0.012
Cmems Copernicus Grant Wave2nemo	1	0.012
Cmems Med Mfc Copernicus Marine Environment Monitoring Service Mediterranean Marine Forecasting Centre Mercator Ocean International Service	1	0.012
Cmems Service European Union	1	0.012
Cmems Service Evolution Project Waveflow	1	0.012
Cnap	1	0.012
Cnes As Part Of The Comsom Glider Campaign	1	0.012
Cnes As Part Of The Fp7 Space E Aims Project	1	0.012
Cnes As Part Of The Swot Preparation Program Labex Mer	1	0.012
Cnes As Part Of The Tosca Program	1	0.012
Cnes Aviso	1	0.012
Cnes Bc T23	1	0.012
Cnes Centre National D Etudes Spatiales Through The Ost St Altimetric Program	1	0.012
Cnes Centre National De Recherche Spatiale Institution	1	0.012
Cnes Cls Ph D Fund	1	0.012
Cnes Cls Phd Grant	1	0.012
Cnes Eumetsat	1	0.012
Cnes Eumetsat Tosca Grant Ctoh	1	0.012
Cnes Eumetsat Tosca Grant Foam	1	0.012
Cnes French National Space Agency Project	1	0.012
Cnes French Space Agency Postdoctoral Grant	1	0.012
Cnes French Space Agency Through A Tosca Funding	1	0.012
Cnes French Space Agency Through Ostst Project Manatee	1	0.012
Cnes French Space Agency Through Swot St Project Diego	1	0.012
Cnes Grant Swot Diego	1	0.012
Cnes In The Framework Of The Tosca Project Hydrologie Oceanographie Par Reflectometrie Gnss Horg	1	0.012
Cnes Insu	1	0.012
Cnes Joint Ocean Surface Topography Science Team Ost St Project	1	0.012
Cnes Mercator Ocean Collaboration	1	0.012
Cnes Nasa Ocean Surface Topography Science Team Ost St	1	0.012
Cnes Nasa Ostst	1	0.012
Cnes Of The Saral	1	0.012
Cnes Ost St	1	0.012
Cnes Ostst Osiw	1	0.012
Cnes Ostst Program	1	0.012
Cnes Postdoc Program	1	0.012
Cnes Region Bretagne Doctoral Grant	1	0.012
Cnes Region Midi Pyrenees Phd Grant	1	0.012
Cnes Salp	1	0.012
Cnes Space Agency Through The Tosca Committee	1	0.012
Cnes Swot	1	0.012
Cnes Swot Mission	1	0.012
Cnes Swot Project	1	0.012
Cnes Swot Science Definition Team	1	0.012
Cnes Swot Science Team Project	1	0.012
Cnes Terre Ocean Surfaces Continentales Athmosphere Tosca Committee	1	0.012
Cnes Terre Ocean Surfaces Continentales Atmosphere Tosca Committee	1	0.012
Cnes Through Isis	1	0.012
Cnes Through Its Tosca Ostst Program	1	0.012
Cnes Through Scientific Tosca Ostst Program	1	0.012
Cnes Through Swot Science Team	1	0.012
Cnes Through The Biocosm Project	1	0.012
Cnes Through The Rd Study	1	0.012
Cnes Through The Terre Ocean Surfaces Continentales Atmosphere Tosca	1	0.012
Cnes Through The Tosca	1	0.012
Cnes Through The Tosca Bioswot Adac Project	1	0.012
Cnes Through The Vasco	1	0.012
Cnes Through Tosca	1	0.012
Cnes Through Tosca Committee	1	0.012
Cnes Topex Poseidon	1	0.012
Cnes Tosca Ctoh Grant	1	0.012
Cnes Tosca Ctoh Project France	1	0.012
Cnes Tosca Grant	1	0.012
Cnes Tosca Grant Ctoh	1	0.012
Cnes Tosca Grant Hydroweb	1	0.012
Cnes Tosca Grant Surcharges Et Propagation	1	0.012
Cnes Tosca Lakeice Project	1	0.012
Cnes Tosca Permasensing Project	1	0.012
Cnes Tosca Program Elephants De Mer Oceanographes And Altimeco	1	0.012
Cnes Tosca Programs	1	0.012
Cnes Tosca Project	1	0.012
Cnes Tosca Project Foam	1	0.012
Cnes Tosca Research Grant	1	0.012
Cnes Tosca Research Project	1	0.012
Cnes Tosca Swot High Resolution Hydrology Project	1	0.012
Cnes Under The Project Tosca Sole	1	0.012
Cnes Under The Swot Preparation Program	1	0.012
Cnestosca	1	0.012
Cnpq Ird	1	0.012
Cnpq Mcti Cnpq Ct Agro Ct Saude Cthidro	1	0.012
Cnr Ismar Through The Eu Med Project Tracking Oil Spills And Coastal Awareness Network Tosca	1	0.012
Cnrs For French Guiana	1	0.012
Cnrs Insu Institut Des Sciences De L Univers Through The Lefe Program	1	0.012
Cnrs Psl Eco Evo Devo Program Pepiniere Interdisciplinaire	1	0.012
Cnrs Russia Gdri Car Wet Sib	1	0.012
Cnrs Russia Irn Tts Project	1	0.012
Cnrs Russia Pics Balalaica	1	0.012
Co Joint Research And Development Fund	1	0.012
Coastal Altimetry Community	1	0.012
Coastal And Regional Sea Level Change And Subsidence The Hazardous Potential In Indonesia And South East Asia	1	0.012
Coastal Environmental Observatory Of The Southwest Ocaso Interreg Poctec Eu Project	1	0.012
Coastal Marine Institute Cmi Of University Of Alaska And Minerals Management Service Mms	1	0.012
Coastalt	1	0.012
Colciencias Phd Grant	1	0.012
Cold And Arid Regions Environment And Engineering Research Institute	1	0.012
Collaborative Innovation Center For Geo Hazards And Eco Environment In Three Gorges Area Hubei Province	1	0.012
Collaborative Innovation Center Of Geospatial Technology	1	0.012
Collaborative Precision Positioning Project Grant	1	0.012
Collaborative Project Euro Argo Improvements For The Gmes Marine Service E Aims European Union	1	0.012
Collaborative Research Center	1	0.012
Collaborative Research Program Of Hyarc Nagoya University Japan	1	0.012
Collaborative Research Program Of Research Institute For Applied Mechanics Kyushu University	1	0.012
Collecte Localisation Satellite Cls	1	0.012
Collecte Localisation Satellites Cls	1	0.012
College Graduate Research And Innovation Projects Of Jiangsu Province Of China	1	0.012
Combat Project Service Evolution Of Cmems	1	0.012
Comision Federal De Electricidad	1	0.012
Commissariat A L Energie Atomique Et Aux Energies Alternatives Cea French Alternative Energies And Atomic Energy Commission	1	0.012
Commission For Scientific Research In Greenland Kvug	1	0.012
Common Key Technology Projects For Major Special Applications Of High Resolution Earth Observation Systems	1	0.012
Commonwealth Center For Recurrent Flooding Resiliency Ccrfr	1	0.012
Commonwealth Commission And Chancellor College Of The University Of Malawi	1	0.012
Commonwealth Government Of Australia Department Of Climate Change And Energy Efficiency	1	0.012
Compac Project	1	0.012
Compete Programme	1	0.012
Comunidad De Madrid	1	0.012
Conacyt Sener Mexico As Part Of The Consorcio De Investigacion Del Golfo De Mexico Cigom	1	0.012
Congopeat A Nerc Large Grant	1	0.012
Conicet Argentine National Research Council	1	0.012
Conicyt Fondap	1	0.012
Conicyt Pia Pbct	1	0.012
Connecting Europe Facility Cef Project Famos Finalising Surveys For The Baltic Motorways Of The Sea Odin	1	0.012
Consejo Nacional De Investigaciones Cientificas Y Tecnicas Proyectos De Investigacion Plurianual	1	0.012
Consejo Sudcaliforniano De Ciencia Y Tecnologia Coscyt	1	0.012
Consejo Superior De Investigaciones Cientificas Csic	1	0.012
Conservation International	1	0.012
Conservation Research And Education Opportunities Creo Program	1	0.012
Consiglio Nazionale Delle Ricerche Cnr	1	0.012
Consiglio Nazionale Delle Ricerche Cnr Via The Progetto Bandiera Ritmare	1	0.012
Consiglio Nazionale Delle Ricerche Collecte Localisation Satellites Service Agreement	1	0.012
Consiglio Nazionale Delle Ricerche Under Project Lec Ema21f Of The European Science Foundation Programme Euromargins	1	0.012
Consiliul National Al Cercetarii Stiintifice Cncs	1	0.012
Consolider I Math	1	0.012
Contract Tessa	1	0.012
Convenio Pemex Exploracion Y Produccion Cicese	1	0.012
Convention On Migratory Species	1	0.012
Convocatoria Programa Estatal De I D I Orientada A Los Retos De La Sociedad Del Ano 2016	1	0.012
Cooperative Institute For Climate Science Princeton University From National Oceanic And Atmospheric Administration U S Department Of Commerce	1	0.012
Cooperative Institute For Marine And Atmospheric Studies Cimas A Cooperative Institute Of The Noaa	1	0.012
Cooperative Institute For Marine And Atmospheric Studies Cimas A Cooperative Institute Of The University Of Miami	1	0.012
Cooperative Institute For Marine And Atmospheric Studies Cimas A Cooperative Institute Of The University Of Miami And Noaa	1	0.012
Cooperative Institute For Marine And Atmospheric Studies Cimas A Noaa Cooperative Institute	1	0.012
Cooperative Institute For Marine And Atmospheric Studies Of The University Of Miami	1	0.012
Cooperative Institute For Oceanographic Satellite Studies	1	0.012
Cooperative Institute For The North Atlantic Region	1	0.012
Cooperative Institute Of Marine And Atmospheric Studies Of The University Of Miami	1	0.012
Cooperative Institute Of The University Of Miami	1	0.012
Cooperative Project Nordatlantik German Federal Ministry For Education And Research	1	0.012
Cooperative Project Race German Federal Ministry For Education And Research	1	0.012
Coordination Funds For Promoting Aerospace Utilization Ministry Of Education Culture Sports Science And Technology Japan	1	0.012
Coordination Of Jerome Benveniste Esa Esrin	1	0.012
Copernicus Arctic Mfc Project	1	0.012
Copernicus Arctic Mfc Services	1	0.012
Copernicus Climate Change Service C3s	1	0.012
Copernicus Marine Environment Monitoring Service Cmems Multi Observation Thematic Assembly Centre Cmems Tac Mob	1	0.012
Copernicus Marine Environment Monitoring Service Cmems Ocean Colour Thematic Assembling Center Project	1	0.012
Copernicus Marine Environment Monitoring Service Cmems Sea Level Thematic Assembly Centre Sl Tac	1	0.012
Copernicus Marine Environment Monitoring Service Cmems Through The Sea Level Thematic Assembly Center Sltac	1	0.012
Copernicus Marine Environment Monitoring Service Through The Sea Level Thematic Assembly Center	1	0.012
Copernicus Marine Environmental And Monitoring Service	1	0.012
Copernicus Marine Service	1	0.012
Copernicus Marine Services	1	0.012
Coral Reef Research Foundation	1	0.012
Corner Science And Education Foundation	1	0.012
Cosimo Within Esa S Support To Science Element Program	1	0.012
Cosmo Skymed C Project Of The Italian Space Agency Asi	1	0.012
Cosmogrid	1	0.012
Cost Action Ego Everyone S Gliding Observatories	1	0.012
Cotutelle	1	0.012
Council Of A President Of The Russian Federation	1	0.012
Council Of Investigation Of Science And Technical Cicyt Of The National University Of Santiago Del Estero Unse	1	0.012
Council Of Scientific And Industrial Research Csir Under Its Ocean Finder Programme	1	0.012
Cpo	1	0.012
Crafoordska Stiftelsen	1	0.012
Crown Estate	1	0.012
Crsri	1	0.012
Crsri Open Research Program	1	0.012
Cryo Seanice Esa Project	1	0.012
Cryosat 2 Success Over Inland Water And Land Crucial Project	1	0.012
Cryosat Cal Val Project	1	0.012
Cryosat Plus For Ocean Cp4o Esa Stse Support To Science Element Project	1	0.012
Cryospheric Commission Of The Swiss Academy Of Science	1	0.012
Cryospheric Sciences Program Modeling Analysis And Prediction Program	1	0.012
Cryovex Program Of The European Space Agency	1	0.012
Cs	1	0.012
Csc Scholarship	1	0.012
Cshor A Joint Research Centre For Southern Hemisphere Oceans Research Between Qnlm And Csiro	1	0.012
Csic	1	0.012
Csic Plataforma Tematica Interdisciplinar De Teledeteccion Pti Teledetect	1	0.012
Csir Ecosystem Earth Observation Group	1	0.012
Csir Ecosystem Earth Observation Unit Pg Ecoeo	1	0.012
Csir Nre Srp Project	1	0.012
Csir Through Csir Nio S Sip	1	0.012
Csir Ugc Jrf Govt Of India	1	0.012
Csiro Office Of The Chief Executive Fellowship	1	0.012
Csiro Office Of The Chief Executive Postdoctoral Fellowship	1	0.012
Csiro Office Of The Chief Executive Top Up Scholarship	1	0.012
Csiro S Wealth From Oceans Flagship	1	0.012
Csiro Through The Australian Climate Change Science Program	1	0.012
Csiro Wealth From Oceans Flagship Scholarship	1	0.012
Csiroutas Phd Scholarship In Quantitative Marine Science Qms	1	0.012
Csu	1	0.012
Ctoh	1	0.012
Ctoh Insu	1	0.012
Ctoh Legos France	1	0.012
Cugri University Consortium For Research On Major Hazards	1	0.012
Cultural Action And Cooperation Service Scac Of The French Embassy In Benin	1	0.012
Curtin S Institute For Geoscience Research	1	0.012
Curtin University Australia	1	0.012
Curtin University Of Technology	1	0.012
Cygnss Mission Science Team	1	0.012
Cygnss Project	1	0.012
Czech Grant Agency Project	1	0.012
Czech Technical University In Prague	1	0.012
Dalian High Level Talents Innovation Support Plan	1	0.012
Dalniy Vostok Priority Program	1	0.012
Dancea Danish Cooperation For Environment In The Arctic Under The Danish Ministry Of Energy Buildings And Climate	1	0.012
Dancea Program Under The Danish Government	1	0.012
Danish Agency For Science Technology And Innovation	1	0.012
Danish Agency Of Science Technology And Innovation	1	0.012
Danish Commission For Scientific Research In Greenland Kvug	1	0.012
Danish Dancea	1	0.012
Danish Dancea Programme	1	0.012
Danish Energy Agency	1	0.012
Danish Energy Agency As Part Of The Arctic Climate Support Programme Western Valley Overflow Project	1	0.012
Danish Government	1	0.012
Danish Meteorological Institute	1	0.012
Danish Ministry Of Climate Energy And Utilities Through Its Climate Support Program To The Arctic Farmon	1	0.012
Danish Ministry Of Climate Energy And Utilities Through Its Climate Support Program To The Arctic Farmon2	1	0.012
Danish Natural Science Research Council	1	0.012
Danish Strategic Research Program Through The Naacos Project	1	0.012
Darpa Dso Space Environment Exploitation See Program	1	0.012
Dartmouth College	1	0.012
Dartmouth College S Open Access Publication Equity Fund	1	0.012
Davidow Discovery Fund	1	0.012
Dawn Program Of Shanghai Education Commission China	1	0.012
Dayu Scholar Program	1	0.012
Dayu Scholar Program Of Hohai University	1	0.012
Dean M Leinen Of The Graduate School Of Oceanography At The University Of Rhode Island	1	0.012
Deanship Of Graduate Studies Dgs	1	0.012
Deanship Of Scientific Research Dsr King Abdulaziz University Jeddah	1	0.012
Debenham Scholarship From The Scott Polar Research Institute University Of Cambridge	1	0.012
Dec	1	0.012
Decc Defra Met Office Hadley Centre Climate Programme	1	0.012
Deep C Consortium	1	0.012
Deep South National Science Challenge	1	0.012
Deep South National Science Challenges New Zealand	1	0.012
Deep Water Circulation And Material Cycling In The East Sea Ministry Of Oceans And Fisheries Korea	1	0.012
Defense Acquisition Program Administration	1	0.012
Defense Advanced Research Projects Agency Darpa	1	0.012
Defense Advanced Research Projects Agency Darpa Defense Sciences Office Dso Space Environment Exploitation See Program	1	0.012
Defense Science And Technology Innovation Fund	1	0.012
Deff	1	0.012
Deimos Space Uk Limited	1	0.012
Delegation Generale De L Armement	1	0.012
Delegation Generale Pour L Armement Mira	1	0.012
Delegation Interministerielle Pour Le Tsunami By The French Ministry Of Foreign Affairs	1	0.012
Delft Research Centre	1	0.012
Delft University Of Technology	1	0.012
Deltares	1	0.012
Deltares Coastal Maintenance Research Programme Beheer Onderhoud Kust	1	0.012
Departamento Administrativo De Ciencia Tecnologia E Innovacion Colciencias	1	0.012
Department For Business Innovation And Skills	1	0.012
Department Of Civil Engineering Chittagong University Of Engineering And Technology Cuet Bangladesh	1	0.012
Department Of Climate Change And Energy Efficiency	1	0.012
Department Of Communications Climate Action And Environment	1	0.012
Department Of Earth And Oceans At Old Dominion University	1	0.012
Department Of Earth Sciences Uppsala University Uppsala Sweden	1	0.012
Department Of Earth System Science University Of California Irvine	1	0.012
Department Of Environment Affairs South Africa	1	0.012
Department Of Environment And Regional Planning And By The Industry Trade And Tourism Department Of The Basque Government	1	0.012
Department Of Environment Science Policy And Management University Of California Berkeley	1	0.012
Department Of Environmental Affairs	1	0.012
Department Of Geological Sciences At Stockholm University	1	0.012
Department Of Geology At Lund University Sweden	1	0.012
Department Of Geophysics Kyoto University Japan	1	0.012
Department Of Indigenous And Northern Affairs Canada	1	0.012
Department Of Land Administration Ministry Of The Interior Taiwan	1	0.012
Department Of Meteorology And Oceanography Andhra University	1	0.012
Department Of Navy Via Applied Research Laboratory At University Of Hawaii	1	0.012
Department Of Oceanography Tamu	1	0.012
Department Of Science And Technology Dst Natural Resources Data Management System Nrdms Ministry Of Science And Technology Government Of India New Delhi	1	0.012
Department Of Science Technology Dost Philippines	1	0.012
